Problem name,Problem Link,Topic,Difficulty,Skill,Platform
Tree: Height of a Binary Tree,https://www.hackerrank.com/challenges/tree-height-of-a-binary-tree/problem,Trees,Easy,Advanced,HackerRank
Tree : Top View,https://www.hackerrank.com/challenges/tree-top-view/problem,Trees,Easy,Advanced,HackerRank
Tree: Level Order Traversal,https://www.hackerrank.com/challenges/tree-level-order-traversal/problem,Trees,Easy,Advanced,HackerRank
Binary Search Tree : Insertion,https://www.hackerrank.com/challenges/binary-search-tree-insertion/problem,Trees,Easy,Advanced,HackerRank
Binary Search Tree : Lowest Common Ancestor,https://www.hackerrank.com/challenges/binary-search-tree-lowest-common-ancestor/problem,Trees,Easy,Advanced,HackerRank
Tree: Huffman Decoding,https://www.hackerrank.com/challenges/tree-huffman-decoding/problem,Trees,Medium,Intermediate,HackerRank
Swap Nodes [Algo],https://www.hackerrank.com/challenges/swap-nodes-algo/problem,Trees,Medium,Advanced,HackerRank
Is This a Binary Search Tree?,https://www.hackerrank.com/challenges/is-binary-search-tree/problem,Trees,Medium,Advanced,HackerRank
Kitty's Calculations on a Tree,https://www.hackerrank.com/challenges/kittys-calculations-on-a-tree/problem,Trees,Hard,Advanced,HackerRank
Maximum Element,https://www.hackerrank.com/challenges/maximum-element/problem,Stacks,Easy,Intermediate,HackerRank
Equal Stacks,https://www.hackerrank.com/challenges/equal-stacks/problem,Stacks,Easy,Intermediate,HackerRank
Balanced Brackets,https://www.hackerrank.com/challenges/balanced-brackets/problem,Stacks,Medium,Intermediate,HackerRank
Game of Two Stacks,https://www.hackerrank.com/challenges/game-of-two-stacks/problem,Stacks,Medium,Intermediate,HackerRank
Largest Rectangle,https://www.hackerrank.com/challenges/largest-rectangle/problem,Stacks,Medium,Intermediate,HackerRank
Simple Text Editor,https://www.hackerrank.com/challenges/simple-text-editor/problem,Stacks,Medium,Intermediate,HackerRank
Waiter,https://www.hackerrank.com/challenges/waiter/problem,Stacks,Medium,Intermediate,HackerRank
Poisonous Plants,https://www.hackerrank.com/challenges/poisonous-plants/problem,Stacks,Hard,Advanced,HackerRank
Queue using Two Stacks,https://www.hackerrank.com/challenges/queue-using-two-stacks/problem,Queues,Medium,Intermediate,HackerRank
Down to Zero II,https://www.hackerrank.com/challenges/down-to-zero-ii/problem,Queues,Medium,Intermediate,HackerRank
Castle on the Grid,https://www.hackerrank.com/challenges/castle-on-the-grid/problem,Queues,Medium,Advanced,HackerRank
Truck Tour,https://www.hackerrank.com/challenges/truck-tour/problem,Queues,Hard,Intermediate,HackerRank
Queries with Fixed Length,https://www.hackerrank.com/challenges/queries-with-fixed-length/problem,Queues,Hard,Intermediate,HackerRank
Contest Proposal,https://codeforces.com/problemset/problem/1972/A,"Greedy,two pointers",Easy,Basic,Codeforces
Coin Games,https://codeforces.com/problemset/problem/1972/B,"Games,Math",Easy,Basic,Codeforces
Way Too Long Words,https://codeforces.com/problemset/problem/71/A,String,Easy,Basic,Codeforces
Team,https://codeforces.com/problemset/problem/231/A,"Greedy,two pointers",Easy,Basic,Codeforces
Watermelon,https://codeforces.com/problemset/problem/4/A,Math,Easy,Basic,Codeforces
Pangram,https://codeforces.com/problemset/problem/520/A,String,Easy,Basic,Codeforces
Soldier and Bananas,https://codeforces.com/problemset/problem/546/A,Math,Easy,Basic,Codeforces
Word Capitalization,https://codeforces.com/problemset/problem/281/A,String,Easy,Basic,Codeforces
Beautiful Matrix,https://codeforces.com/problemset/problem/263/A,Matrix,Easy,Basic,Codeforces
 Football,https://codeforces.com/problemset/problem/96/A,String,Easy,Basic,Codeforces
Sale,https://codeforces.com/problemset/problem/34/B,"greedy,sorting",Easy,Basic,Codeforces
Clock and Strings,https://codeforces.com/problemset/problem/1971/C,implemenatation,Easy,Intermediate,Codeforces
 Painting the Ribbon,https://codeforces.com/problemset/problem/1954/A,"Greedy,Math",Easy,Intermediate,Codeforces
 Dual Trigger,https://codeforces.com/problemset/problem/1951/A,"Greedy,Math",Easy,Intermediate,Codeforces
 Rudolf and the Ugly String,https://codeforces.com/problemset/problem/1941/C,Dynamic programming,Easy,Intermediate,Codeforces
Petya and Strings,https://codeforces.com/problemset/problem/112/A,String,Easy,Intermediate,Codeforces
Helpful Maths,https://codeforces.com/problemset/problem/339/A,String,Easy,Intermediate,Codeforces
Binary Cut,https://codeforces.com/problemset/problem/1971/D,Dynamic programming,Easy,Intermediate,Codeforces
How Does the Rook Move?,https://codeforces.com/problemset/problem/1957/C,Dynamic programming,Easy,Intermediate,Codeforces
Product of Binary Decimals,https://codeforces.com/problemset/problem/1950/D,Dynamic programming,Easy,Intermediate,Codeforces
Array Fix,https://codeforces.com/problemset/problem/1948/B,Dynamic programming,Easy,Basic,Codeforces
Tree Cutting,https://codeforces.com/problemset/problem/1946/C,Dynamic programming,Easy,Basic,Codeforces
Rudolf and the Ugly String,https://codeforces.com/problemset/problem/1941/C,Dynamic programming,Easy,Basic,Codeforces
An impassioned circulation of affection,https://codeforces.com/problemset/problem/814/C,String,Easy,Basic,Codeforces
Maximum Sum,https://codeforces.com/problemset/problem/1946/B,Dynamic programming,Easy,Basic,Codeforces
Binary Path,https://codeforces.com/problemset/problem/1937/B,Dynamic programming,Easy,Basic,Codeforces
Find the Different Ones!,https://codeforces.com/problemset/problem/1927/D,Dynamic programming,Easy,Basic,Codeforces
Did We Get Everything Covered?,https://codeforces.com/problemset/problem/1924/A,Dynamic programming,Easy,Basic,Codeforces
Tree Cutting,https://codeforces.com/problemset/problem/1946/C,Trees,Easy,Basic,Codeforces
Sum in Binary Tree,https://codeforces.com/problemset/problem/1843/C,Trees,Easy,Basic,Codeforces
Gardener and Tree,https://codeforces.com/problemset/problem/1593/E,Trees,Easy,Basic,Codeforces
Compression and Expansion,https://codeforces.com/problemset/problem/1523/C,Trees,Easy,Basic,Codeforces
 Party,https://codeforces.com/problemset/problem/115/A,Trees,Easy,Basic,Codeforces
Min-Fund Prison,https://codeforces.com/problemset/problem/1970/G3,"Trees,Bit masking,Graphs",Easy,Advanced,Codeforces
 Arithmancy,https://codeforces.com/problemset/problem/1970/D1,String,Medium,Advanced,Codeforces
Folding Strip,https://codeforces.com/problemset/problem/1965/C,String,Medium,Advanced,Codeforces
Ranom Number,https://codeforces.com/problemset/problem/1841/C,String,Medium,Advanced,Codeforces
Sum over all Substrings,https://codeforces.com/problemset/problem/1930/D1,String,Medium,Advanced,Codeforces
Password,https://codeforces.com/problemset/problem/126/B,String,Medium,Advanced,Codeforces
Tandem Repeats?,https://codeforces.com/problemset/problem/1948/D,String,Medium,Intermediate,Codeforces
Shifting String,https://codeforces.com/problemset/problem/1690/F,String,Medium,Intermediate,Codeforces
Spring Cleaning,https://codeforces.com/problemset/problem/1346/C,Sorting,Easy,Advanced,Codeforces
Bus,https://codeforces.com/problemset/problem/172/C,Sorting,Easy,Advanced,Codeforces
Geometry Horse,https://codeforces.com/problemset/problem/175/C,Sorting,Easy,Advanced,Codeforces
Oh Sweet Beaverette,https://codeforces.com/problemset/problem/331/A2,Sorting,Easy,Advanced,Codeforces
Trading Business,https://codeforces.com/problemset/problem/176/A,Sorting,Easy,Advanced,Codeforces
Technogoblet of Fire,https://codeforces.com/problemset/problem/1121/A,Sorting,Easy,Intermediate,Codeforces
Views Matter,https://codeforces.com/problemset/problem/1061/B,"Greedy,Sorting",Easy,Intermediate,Codeforces
Developing Skills,https://codeforces.com/problemset/problem/581/C,"Math,Sorting",Easy,Intermediate,Codeforces
Maximal Intersection,https://codeforces.com/problemset/problem/1029/C,"Greedy,Math,Sorting",Easy,Intermediate,Codeforces
Replacement,https://codeforces.com/problemset/problem/135/A,"Greedy,Sorting",Easy,Intermediate,Codeforces
Triple,https://codeforces.com/problemset/problem/1669/B,Sorting,Easy,Basic,Codeforces
Equal Candies,https://codeforces.com/problemset/problem/1676/B,"Math,Sorting",Easy,Basic,Codeforces
Honest Coach,https://codeforces.com/problemset/problem/1360/B,"Greedy,Sorting",Easy,Basic,Codeforces
Team Olympiad,https://codeforces.com/problemset/problem/490/A,"Greedy,Sorting",Easy,Basic,Codeforces
Remove Smallest,https://codeforces.com/problemset/problem/1399/A,"Greedy,Sorting",Easy,Basic,Codeforces
The Last Fight Between Human and AI,https://codeforces.com/problemset/problem/676/E,Math,Medium,Advanced,Codeforces
Colored Balls,https://codeforces.com/problemset/problem/792/E,"Greedy,Math",Medium,Advanced,Codeforces
Squares,https://codeforces.com/problemset/problem/123/B,Math,Medium,Advanced,Codeforces
Lottery,https://codeforces.com/problemset/problem/1835/B,"Math,Greedy,Two Pointers",Medium,Advanced,Codeforces
Fill the Matrix,https://codeforces.com/problemset/problem/1841/E,"Greedy,Math",Medium,Intermediate,Codeforces
Math Show,https://codeforces.com/problemset/problem/846/B,Greedy,Medium,Intermediate,Codeforces
Jeremy Bearimy,https://codeforces.com/problemset/problem/1280/C,"Graphs,Greedy,Trees",Medium,Intermediate,Codeforces
Jury Meeting,https://codeforces.com/problemset/problem/853/B,"Greedy,Sorting",Medium,Intermediate,Codeforces
Tree XOR,https://codeforces.com/problemset/problem/1882/D,"Bit Manipulation,Greedy,Trees",Medium,Basic,Codeforces
"""Or"" Game",https://codeforces.com/problemset/problem/578/B,Greedy,Medium,Basic,Codeforces
Double Lexicographically Minimum,https://codeforces.com/problemset/problem/1799/C,"Greedy,Strings",Medium,Basic,Codeforces
Sheikh,https://codeforces.com/problemset/problem/1732/C1,"Bit Manipulation,Greedy,Two Pointers",Medium,Basic,Codeforces
Crisp String,https://codeforces.com/problemset/problem/1117/F,Bit Manipulation,Medium,Advanced,Codeforces
Clear The Matrix,https://codeforces.com/problemset/problem/903/F,Bit Manipulation,Medium,Advanced,Codeforces
Nuclear Fusion,https://codeforces.com/problemset/problem/71/E,Bit Manipulation,Medium,Advanced,Codeforces
Little Girl and Maximum XOR,https://codeforces.com/problemset/problem/276/D,"Bit Manipulation,Greedy,Math",Medium,Basic,Codeforces
"AND,OR and square sum",https://codeforces.com/problemset/problem/1368/D,"Bit Manipulation,Greedy,Math",Medium,Basic,Codeforces
Bicolorings,https://codeforces.com/problemset/problem/1051/D,Bit Manipulation,Medium,Basic,Codeforces
PolandBall and Gifts,https://codeforces.com/problemset/problem/755/F,"Bit Manipulation,Greedy",Hard,Intermediate,Codeforces
Reality Show,https://codeforces.com/problemset/problem/1322/D,Bit Manipulation,Hard,Intermediate,Codeforces
Two Subsequences,https://codeforces.com/problemset/problem/83/E,Bit Manipulation,Hard,Intermediate,Codeforces
Two Sets,https://codeforces.com/problemset/problem/251/D,"Bit Manipulation,Math",Hard,Intermediate,Codeforces
Favorite Game,https://codeforces.com/problemset/problem/1523/F,Bit Manipulation,Hard,Intermediate,Codeforces
